Name,RA,DECL,Equinox,Vmag,Sp.Type,"dist (pc)",star_id,star_id_str
HIP12530,"2 41 14.2","-0 41 46",2000,5.72,F7IV,21.60,193,star193
HIP12653,"2 42 34.0","-50 47 57",2000,5.40,G3IV,17.20,194,star194
HIP12706,"2 43 17.8","3 14  6",2000,3.47,A3V,25.10,195,star195
HIP12709,"2 43 21.4","19 25 45",2000,8.23,K5,18.50,196,star196
HIP12723,"2 43 34.3","-46 27 25",2000,9.04,K5V,27.40,197,star197
HIP12777,"2 44 12.5","49 13 40",2000,4.10,F7V,11.20,198,star198
HIP12781,"2 44 16.5","25 31 18",2000,10.50,M3.5Ve,7.55,199,star199
HIP12828,"2 44 56.8","10  6 50",2000,4.27,F1III-I,25.80,200,star200
HIP12832,"2 44 57.7","12 26 43",2000,5.17,A7III-I,38.20,201,star201
HIP12843,"2 45 6.55","-18 34 20",2000,4.47,F5/F6V,13.90,202,star202
HIP12929,"2 46 17.5","11 46 27",2000,8.59,K5,15.90,203,star203
HIP12961,"2 46 43.2","-23  5  9",2000,10.20,M0,23.80,204,star204
HIP13008,"2 47 11.1","-22 29  9",2000,6.47,F2V,38.10,205,star205
HIP13081,"2 48 9.45","27  4  5",2000,7.56,K1V,22.30,206,star206
HIP13218,"2 50 9.52","-53  8 12",2000,10.70,M,13.00,207,star207
HIP13258,"2 50 37.2","15 42 29",2000,8.87,K5,22.40,208,star208
HIP13375,"2 52 8.41","34 23  5",2000,9.60,K6:,14.20,209,star209
HIP13389,"2 52 24.5","-63 40 37",2000,11.30,M,11.50,210,star210
HIP13402,"2 52 32.5","-12 46 13",2000,6.05,K1V,10.30,211,star211
SO0253,"2 53 4.68","16 51 52",2000,15.10,M6.5V,3.85,212,star212
HIP13601,"2 55 17.6","16 18 32",2000,7.41,G5,26.10,213,star213
HIP13642,"2 55 39.3","26 52 20",2000,7.52,K2,22.80,214,star214
HIP13665,"2 55 57.2","61 31 16",2000,5.59,F4V,26.40,215,star215
HIP13769,"2 57 13.2","-24 58 30",2000,7.84,K2V,25.70,216,star216
HIP13772,"2 57 14.7","-24 58 10",2000,7.33,K1/K2V,22.40,217,star217
HIP13782,"2 57 23.8","-23 51 44",2000,5.44,A5IV/V,48.60,218,star218
HIP13834,"2 58 5.49","20 40  6",2000,5.80,F5IV,31.80,219,star219
HIP13976,"3  0 3.16","7 44 59",2000,7.97,G5,23.40,220,star220
HIP14146,"3  2 23.3","-23 37 28",2000,4.08,A4V,26.40,221,star221
HIP14150,"3  2 26.3","26 36 30",2000,6.62,G8V,21.10,222,star222
HIP14286,"3  4 11.2","61 42  9",2000,6.64,G4V,22.80,223,star223
HIP14293,"3  4 16.5","-7 36  2",2000,5.26,A8V,43.00,224,star224
HIP14445,"3  6 27.1","1 57 39",2000,9.07,M0V,14.70,225,star225
HIP14576,"3  8 10.1","40 57 20",2000,2.09,B8V,28.40,226,star226
HIP14587,"3  8 22.8","-60 10 19",2000,9.27,K5V,21.40,227,star227
HIP14633,"3  9 5.32","76  2 20",2000,9.82,M0,21.30,228,star228
HIP14632,"3  9 6.09","49 36 46",2000,4.05,G0V,10.50,229,star229
HIP14668,"3  9 30.0","44 51 24",2000,3.79,K0III,34.40,230,star230
HIP14669,"3  9 30.1","45 43 51",2000,10.10,M2,15.40,231,star231
HIP14729,"3 10 15.4","12  2 59",2000,9.38,K5,27.00,232,star232
HIP14862,"3 11 56.3","74 23 35",2000,4.85,A2Vnn,49.60,233,star233
HIP14954,"3 12 46.6","-1 11 47",2000,5.07,F8V,22.30,234,star234
HIP15095,"3 14 44.8","-26 26 44",2000,9.17,K5V,18.30,235,star235
HIP15099,"3 14 47.6","8 58 44",2000,7.83,K0,22.20,236,star236
HIP15131,"3 15 6.18","-45 39 51",2000,6.75,G3V,24.30,237,star237
HIP15197,"3 15 50.0","-8 49 10",2000,4.80,A5m,36.70,238,star238
HIP15201,"3 15 58.2","-77 23 17",2000,5.51,F4III,29.30,239,star239
HIP15220,"3 16 14.6","58  9 57",2000,10.50,M2,13.40,240,star240
HIP15330,"3 17 49.2","-62 34 20",2000,5.53,G2V,12.10,241,star241
HIP15371,"3 18 15.8","-62 30 12",2000,5.24,G1V,12.00,242,star242
HIP15411,"3 18 41.2","-18 33 36",2000,5.72,F3V,36.50,243,star243
HIP15457,"3 19 21.9","3 22 14",2000,4.84,G5Vvar,9.15,244,star244
